,Modes,Layers,Channels,Value
0,8,1,4,0.02820347249507904
1,16,1,4,0.013252722099423409
2,32,1,4,0.025680894032120705
3,128,1,4,0.026177823543548584
4,8,1,12,0.02540561370551586
5,16,1,12,0.011002277955412865
6,32,1,12,0.011206178925931454
7,128,1,12,0.027028970420360565
8,8,1,16,0.018305160105228424
9,16,1,16,0.018208038061857224
10,32,1,16,0.015427706763148308
11,128,1,16,0.011654876172542572
12,8,4,4,0.02168983966112137
13,16,4,4,0.013846319168806076
14,32,4,4,0.03021756373345852
15,128,4,4,0.029513947665691376
16,8,4,12,0.011244379915297031
17,16,4,12,0.015369473956525326
18,32,4,12,0.010352288372814655
19,128,4,12,0.011801591143012047
20,8,4,16,0.016760453581809998
21,16,4,16,0.019318826496601105
22,32,4,16,0.023508772253990173
23,128,4,16,0.010828927159309387
24,8,1,4,0.02246127650141716
25,16,1,4,0.025732513517141342
26,32,1,4,0.04511212557554245
27,128,1,4,0.02974407747387886
28,8,1,12,0.020321737974882126
29,16,1,12,0.011029267683625221
30,32,1,12,0.018194764852523804
31,128,1,12,0.015389403328299522
32,8,1,16,0.008039282634854317
33,16,1,16,0.01825392246246338
34,32,1,16,0.01953544281423092
35,128,1,16,0.019458211958408356
36,8,4,4,0.02718549221754074
37,16,4,4,0.0273900143802166
38,32,4,4,0.021215034648776054
39,128,4,4,0.029246658086776733
40,8,4,12,0.024073410779237747
41,16,4,12,0.021144192665815353
42,32,4,12,0.019351281225681305
43,128,4,12,0.015611071139574051
44,8,4,16,0.025870054960250854
45,16,4,16,0.015605919994413853
46,32,4,16,0.02113576978445053
47,128,4,16,0.023324456065893173
48,8,1,4,0.027937641367316246
49,16,1,4,0.02709314599633217
50,32,1,4,0.029849611222743988
51,128,1,4,0.030791211873292923
52,8,1,12,0.02584659494459629
53,16,1,12,0.010999394580721855
54,32,1,12,0.025626961141824722
55,128,1,12,0.012418093159794807
56,8,1,16,0.01638689637184143
57,16,1,16,0.015072203241288662
58,32,1,16,0.02849665842950344
59,128,1,16,0.023677710443735123
60,8,4,4,0.02051062509417534
61,16,4,4,0.019785229116678238
62,32,4,4,0.022865286096930504
63,128,4,4,0.010335360653698444
64,8,4,12,0.01531685795634985
65,16,4,12,0.021443180739879608
66,32,4,12,0.010709749534726143
67,128,4,12,0.0224856436252594
68,8,4,16,0.022361477836966515
69,16,4,16,0.01680678501725197
70,32,4,16,0.015863889828324318
71,128,4,16,0.013143517076969147
72,8,1,4,0.029271071776747704
73,16,1,4,0.026700880378484726
74,32,1,4,0.027463912963867188
75,128,1,4,0.02914673648774624
76,8,1,12,0.028283167630434036
77,16,1,12,0.014193292707204819
78,32,1,12,0.021238336339592934
79,128,1,12,0.029964424669742584
80,8,1,16,0.013162095099687576
81,16,1,16,0.036942217499017715
82,32,1,16,0.017189258709549904
83,128,1,16,0.013318775221705437
84,8,4,4,0.02805652655661106
85,16,4,4,0.0192435160279274
86,32,4,4,0.02344415709376335
87,128,4,4,0.031620901077985764
88,8,4,12,0.024657759815454483
89,16,4,12,0.022141149267554283
90,32,4,12,0.013204148039221764
91,128,4,12,0.016609888523817062
92,8,4,16,0.022325832396745682
93,16,4,16,0.018571263179183006
94,32,4,16,0.016646787524223328
95,128,4,16,0.015397155657410622
96,8,1,4,0.025567596778273582
97,16,1,4,0.014549992978572845
98,32,1,4,0.030957451090216637
99,128,1,4,0.028418609872460365
100,8,1,12,0.016288787126541138
101,16,1,12,0.011439522728323936
102,32,1,12,0.014063280075788498
103,128,1,12,0.02147998847067356
104,8,1,16,0.024402223527431488
105,16,1,16,0.013541007414460182
106,32,1,16,0.012662824243307114
107,128,1,16,0.010285058990120888
108,8,4,4,0.016581764444708824
109,16,4,4,0.029914692044258118
110,32,4,4,0.016838356852531433
111,128,4,4,0.020261360332369804
112,8,4,12,0.01494608074426651
113,16,4,12,0.015828382223844528
114,32,4,12,0.023140130564570427
115,128,4,12,0.021859565749764442
116,8,4,16,0.015999604016542435
117,16,4,16,0.01642651855945587
118,32,4,16,0.030202168971300125
119,128,4,16,0.016427868977189064
